Feature,Normalized.Dispersion
ENSG00000187815,-1.0081024712583988
ENSG00000238287,0.16110325241952314
ENSG00000164002,3.4365046141297158
ENSG00000117010,-1.0779537244411135
ENSG00000117016,-0.19875204725902185
ENSG00000272145,0.7306564558866248
ENSG00000066136,0.6509478120807226
ENSG00000117013,-1.8078345588295213
ENSG00000179862,-1.4155557182546468
ENSG00000171793,-0.03974703715471114
ENSG00000281207,-1.0673678875326014
ENSG00000171790,0.09067591408337372
ENSG00000010803,-1.081660773624913
ENSG00000287400,-0.8912529308099117
ENSG00000235358,-1.4711671306912786
ENSG00000204060,NaN
ENSG00000127129,0.015519304047945388
ENSG00000127124,-1.334093759547185
ENSG00000198815,1.0276803268915784
ENSG00000177181,-0.24124978778306327
ENSG00000066185,-0.31974399415993876
ENSG00000127125,0.21559087262858864
ENSG00000186409,-0.6380104523143053
ENSG00000171960,-2.021959635530616
ENSG00000285728,-0.28997854176522153
ENSG00000234917,NaN
ENSG00000065978,-1.0605839463958526
ENSG00000117385,0.44142411254867914
ENSG00000164008,1.928400461308894
ENSG00000228452,-0.06865698876835173
ENSG00000274386,-0.9019101238429063
ENSG00000177868,-0.03993617474530528
ENSG00000164010,0.8735058402717729
ENSG00000228192,-0.22978233178963908
ENSG00000164011,1.643580960764131
ENSG00000117394,3.0345515337603146
ENSG00000227533,2.369062845558636
ENSG00000117395,-1.624248353133243
ENSG00000243710,NaN
ENSG00000066056,1.232761207657654
ENSG00000117400,NaN
ENSG00000234694,-0.5927833847637274
ENSG00000117399,NaN
ENSG00000066322,-1.4921955055436618
ENSG00000159479,2.7020936625588505
ENSG00000229431,NaN
ENSG00000198198,0.3210851404117506
ENSG00000229372,NaN
ENSG00000178922,15.614947554851968
ENSG00000229348,3.248747517285315
ENSG00000142949,1.7883351486116994
ENSG00000066135,-0.1597198493066378
ENSG00000236200,-0.4203509390139962
ENSG00000126091,6.510475562924982
ENSG00000237950,-1.117841936435279
ENSG00000117408,-0.8281081155412889
ENSG00000132768,-0.36582753355952036
ENSG00000117410,0.9584407913898223
ENSG00000117411,-0.663026531334898
ENSG00000159214,-0.9418507904569355
ENSG00000196517,NaN
ENSG00000230615,1.7573063785705554
ENSG00000178028,-1.9022402003327044
ENSG00000117419,-0.07460331142849683
ENSG00000187147,-0.7777362973907066
ENSG00000126106,-1.8430330163671114
ENSG00000198520,0.29431441127908026
ENSG00000142945,-2.5422870754466236
ENSG00000225721,-0.6675619284212375
ENSG00000142937,-1.0480772063952788
ENSG00000142959,0.5766231277184125
ENSG00000173846,-1.3078505905794837
ENSG00000188396,8.68966792533818
ENSG00000222009,3.3749301523213107
ENSG00000117425,1.068877113737398
ENSG00000070785,-0.8074982332716976
ENSG00000126107,-1.4578198168675875
ENSG00000126088,2.3525491087050305
ENSG00000162415,-0.6096533509346398
ENSG00000281912,0.5317466798135011
ENSG00000132781,-0.7549360981554025
ENSG00000132773,1.07006721619257
ENSG00000070759,-0.19859407164209522
ENSG00000280670,-0.5709784990520039
ENSG00000132763,-1.2767490665794974
ENSG00000117450,-0.98491323249182
ENSG00000117448,-1.7493426562389864
ENSG00000132780,1.518542415455049
ENSG00000159588,-1.8344871837458245
ENSG00000159592,-0.18965153116727984
ENSG00000159596,-1.1427262191371723
ENSG00000197429,2.3015948149315824
ENSG00000230896,1.773824123119838
ENSG00000086015,5.483110851637943
ENSG00000117461,1.788760751413494
ENSG00000226957,NaN
ENSG00000227857,NaN
ENSG00000085998,-0.3215677360181002
ENSG00000171357,-0.6008487520792221
ENSG00000085999,0.4660185290580549
ENSG00000132128,-1.6925125452310765
ENSG00000173660,1.8638317640550315
ENSG00000117481,-0.5766532888693348
ENSG00000117480,-0.8442288302285609
ENSG00000269956,NaN
ENSG00000079277,-0.44016580774030634
ENSG00000142961,11.653224579718971
ENSG00000123472,2.0243601866020855
ENSG00000186118,0.04195529579836418
ENSG00000159658,-1.240060959375059
ENSG00000225506,NaN
ENSG00000224805,25.280243143922743
ENSG00000162366,64.69393979012601
ENSG00000162367,37.02045564281436
ENSG00000123473,-0.8197581816643891
ENSG00000162368,1.9708979423860165
ENSG00000225762,NaN
ENSG00000237424,0.6530452665780107
ENSG00000186564,0.028005245557847395
ENSG00000117834,-7.821293008844119
ENSG00000132122,1.3025673555363433
ENSG00000186094,NaN
ENSG00000162373,0.8266397530662472
ENSG00000162374,NaN
ENSG00000185104,-0.8830854308025442
ENSG00000123080,-0.4345840246931129
